class,charge,fragmentname
BMP,1,"HG(GP,155)"
BMP,1,"HG(GPG,211)"
BMP,1,"-(NH3,17)"
BMP,1,"-(2H2O,36)"
BMP,1,"-HG(GP,172)"
BMP,1,FA2(+C3H4O) + HG(GP)
BMP,1,FA1(+C3H4O) + HG(GP)
BMP,1,FA1(+C3H5O4P)
BMP,1,FA2(+C3H5O4P)
BMP,1,FA1(+C3H6O2)
BMP,1,FA2(+C3H6O2)
BMP,1,FA1(+C3H4O)
BMP,1,FA2(+C3H4O)
BMP,1,FA1
BMP,1,FA2
BMP,-1,GP(153)
BMP,-1,"HG(GPG,209)"
BMP,-1,"HG(GPG,227)"
BMP,-1,P(79)
BMP,-1,P(97)
BMP,-1,-([adduct])
BMP,-1,FA1(+O)
BMP,-1,FA2(+O)
BMP,-1,"FA1(+O) + HG(GP,155)"
BMP,-1,"FA2(+O) + HG(GP,155)"
BMP,-1,"FA1(+O) + HG(GP,137)"
BMP,-1,"FA2(+O) + HG(GP,137)"
BMP,-1,"FA1(+O) + HG(GPG,229)"
BMP,-1,"FA2(+O) + HG(GPG,229)"
BMP,-1,"FA1(+O) + HG(GPG,211)"
BMP,-1,"FA2(+O) + HG(GPG,211)"
CDPDAG,1,"HG(CDP,404)"
CDPDAG,1,"HG(CDP,386)"
CDPDAG,1,"HG(CP,324)"
CDPDAG,1,"HG(CP,306)"
CDPDAG,1,"HG(C,208)"
CDPDAG,1,"HG(C,112)"
CDPDAG,1,"-HG(CDP,403)"
CDPDAG,1,FA2(+C3H6O2) + HG(CDP)
CDPDAG,1,FA1(+C3H6O2) + HG(CDP)
CDPDAG,-1,"HG(CDP,402)"
CDPDAG,-1,"HG(CDP,384)"
CDPDAG,-1,"HG(CP,322)"
CDPDAG,-1,"HG(CP,304)"
CDPDAG,-1,"HG(C,110)"
CDPDAG,-1,"HG(C,272)"
CDPDAG,-1,P(79)
CDPDAG,-1,P(97)
CDPDAG,-1,2P(159)
CDPDAG,-1,"-HG(C,243)"
CDPDAG,-1,FA1(+O)
CDPDAG,-1,FA2(+O)
CDPDAG,-1,-FA1(+HO)
CDPDAG,-1,-FA2(+HO)
CDPDAG,-1,-FA1(-H)
CDPDAG,-1,-FA2(-H)
CDPDAG,-1,"-FA1(+HO)-HG(C,225)"
CDPDAG,-1,"-FA2(+HO)-HG(C,225)"
CDPDAG,-1,"-FA1(+HO)-HG(C,243)"
CDPDAG,-1,"-FA2(+HO)-HG(C,243)"
CDPDAG,-1,"-FA1(+HO)-HG(C,305)"
CDPDAG,-1,"-FA2(+HO)-HG(C,305)"
Cer,1,"-(H2O,18)"
Cer,1,LCB(-HO)
Cer,1,LCB(-H3O2)
Cer,1,LCB(-CH3O2)
Cer,-1,-([adduct])
Cer,-1,LCB(-H6NO)
Cer,-1,LCB(-CH3O)
Cer,-1,LCB(-C2H8NO)
Cer,-1,FA1(+C2H3N)
Cer,-1,FA1(-CH2O)
Cer,-1,FA1(+HN)
Cer,-1,FA1(+C2H3NO)
CerP,1,"-(H3PO4,98)"
CerP,1,"-HG(CerP,116)"
CerP,1,LCB(-H3O2)
CerP,-1,-([adduct])
CerP,-1,P(79)
CerP,-1,P(97)
EPC,1,"-HG(PE,141)"
EPC,1,LCB(-HO)
EPC,1,LCB(-H3O2)
IPC,-1,P(79)
IPC,-1,"HG(PI,241)"
IPC,-1,"HG(PI,259)"
IPC,-1,"-HG(I,180)"
IPC,-1,LCB(-H6NO)
IPC,-1,LCB(-C2H10NO)
ST,1,-Cholesterol(35)
CE,1,-FA1(+HO)-Cholesterol(35)
ST 27:2;1,1,-Desmosterol(35)
SE 27:2,1,-FA1(+HO)-Desmosterol(35)
ST 29:2;1,1,-Stigmasterol(35)
SE 29:2,1,-FA1(+HO)-Stigmasterol(35)
ST 28:3;1,1,-Ergosterol(35)
SE 28:3,1,-FA1(+HO)-Ergosterol(35)
ST 30:2;1,1,-Lanosterol(35)
SE 30:2,1,-FA1(+HO)-Lanosterol(35)
ST 28:2;1,1,-Ergostadienol(35)
SE 28:2,1,-FA1(+HO)-Ergostadienol(35)
CL,-1,FA1(+O)
CL,-1,FA2(+O)
CL,-1,FA3(+O)
CL,-1,FA4(+O)
CL,-1,-FA1(+HO) [-1]
CL,-1,-FA2(+HO) [-1]
CL,-1,-FA3(+HO) [-1]
CL,-1,-FA4(+HO) [-1]
CL,-2,-FA1(+HO) [-2]
CL,-2,-FA2(+HO) [-2]
CL,-2,-FA3(+HO) [-2]
CL,-2,-FA4(+HO) [-2]
CL,-1,-FA1(-H) [-1]
CL,-1,-FA2(-H) [-1]
CL,-1,-FA3(-H) [-1]
CL,-1,-FA4(-H) [-1]
CL,-2,-FA1(-H) [-2]
CL,-2,-FA2(-H) [-2]
CL,-2,-FA3(-H) [-2]
CL,-2,-FA4(-H) [-2]
CL,-1,-FA1(-H)-FA2(+HO) [-1]
CL,-1,-FA1(-H)-FA3(+HO) [-1]
CL,-1,-FA1(-H)-FA4(+HO) [-1]
CL,-1,-FA2(-H)-FA3(+HO) [-1]
CL,-1,-FA2(-H)-FA4(+HO) [-1]
CL,-1,-FA3(-H)-FA4(+HO) [-1]
CL,-2,-FA1(-H)-FA2(+HO) [-2]
CL,-2,-FA1(-H)-FA3(+HO) [-2]
CL,-2,-FA1(-H)-FA4(+HO) [-2]
CL,-2,-FA2(-H)-FA3(+HO) [-2]
CL,-2,-FA2(-H)-FA4(+HO) [-2]
CL,-2,-FA3(-H)-FA4(+HO) [-2]
CL,-1,-FA1(-H)-FA2(-H) [-1]
CL,-1,-FA1(-H)-FA3(-H) [-1]
CL,-1,-FA1(-H)-FA4(-H) [-1]
CL,-1,-FA2(-H)-FA3(-H) [-1]
CL,-1,-FA2(-H)-FA4(-H) [-1]
CL,-1,-FA3(-H)-FA4(-H) [-1]
CL,-2,-FA1(-H)-FA2(-H) [-2]
CL,-2,-FA1(-H)-FA3(-H) [-2]
CL,-2,-FA1(-H)-FA4(-H) [-2]
CL,-2,-FA2(-H)-FA3(-H) [-2]
CL,-2,-FA2(-H)-FA4(-H) [-2]
CL,-2,-FA3(-H)-FA4(-H) [-2]
CL,-1,FA1(+O) + FA2(+O) + HG(GP)
CL,-1,FA3(+O) + FA4(+O) + HG(GP)
CL,-1,FA1(+O) + FA2(+O) + HG(GPG)
CL,-1,FA3(+O) + FA4(+O) + HG(GPG)
CL,-1,FA1(+O) + FA2(+O) + HG(PA)
CL,-1,FA3(+O) + FA4(+O) + HG(PA)
CL,-1,FA1(+O) + HG(PA)
CL,-1,FA2(+O) + HG(PA)
CL,-1,FA3(+O) + HG(PA)
CL,-1,FA4(+O) + HG(PA)
DG,1,"-(H2O+NH3,35)"
DG,1,-FA1(-H)-(H2O+NH3)
DG,1,-FA2(-H)-(H2O+NH3)
DGDG,1,"-(NH3,17)"
DGDG,1,"-HG(Hex2,324)"
DGDG,1,"-HG(Hex,162)"
DGDG,1,"-HG(Hex2,342)"
DGDG,1,FA2(+C3H6O2)
DGDG,1,FA1(+C3H6O2)
DGDG,-1,"HG(DGDG,415)"
DGDG,-1,"HG(DGDG,397)"
DGDG,-1,"HG(DGDG,379)"
DGDG,-1,-([adduct])
DGDG,-1,FA1(+O)
DGDG,-1,FA2(+O)
DGDG,-1,-FA1(+HO)
DGDG,-1,-FA2(+HO)
DGDG,-1,-FA1(-H)
DGDG,-1,-FA2(-H)
DMPE,1,"HG(DMPE,170)"
DMPE,1,"-HG(DMPE,169)"
DMPE,1,FA1
DMPE,1,FA2
DMPE,1,FA2(+C3H4O) + HG(DMPE)
DMPE,1,FA1(+C3H4O) + HG(DMPE)
DMPE,1,FA2(+C3H6O2) + HG(DMPE)
DMPE,1,FA1(+C3H6O2) + HG(DMPE)
DMPE,1,FA1(+C3H6O2)
DMPE,1,FA2(+C3H6O2)
DMPE,1,FA1(+C3H4O)
DMPE,1,FA2(+C3H4O)
DMPE,-1,P(79)
DMPE,-1,"HG(DMPE,168)"
DMPE,-1,"HG(DMPE,224)"
DMPE,-1,FA1(+O)
DMPE,-1,FA2(+O)
DMPE,-1,-FA1(+HO)
DMPE,-1,-FA2(+HO)
DMPE,-1,-FA1(-H)
DMPE,-1,-FA2(-H)
LPC O,1,"HG(PC,184)"
LPC O,1,"(C5H13NO,104)"
LPC O,-1,-(CH3[adduct])
PC O,-1,HG(PC)-(CH3[adduct])
PC O,-1,-(CH3[adduct])
PC O,-1,FA O-[xx:x]
PC O,-1,FA2(+O)
PC O,-1,-FA2(+HO)
PC O,-1,-FA2(-H)
PC O,-1,FA2 -(CO)
PC O,1,"HG(PC,184)"
LPE O,-1,-FA1(-H)
LPE O,-1,GP(153)
LPE O,1,"-HG(PE,141)"
PE O,-1,GP(153)
PE O,-1,GP(135)
PE O,-1,FA2(+O)
PE O,-1,-FA2(+HO)
PE O,-1,-FA2(-H)
PE O,-1,FA2 -(CO)
PE O,1,"-HG(PE,141)"
PE O,1,FA2+(C3H6O2)
Hex3Cer,1,"-(H2O,18)"
Hex3Cer,1,LCB(-HO)
Hex3Cer,1,LCB(-H3O2)
Hex3Cer,1,LCB(-CH3O2)
Hex3Cer,1,"-HG(Hex3,504)"
Hex3Cer,1,"-HG(Hex3,522)"
Hex3Cer,1,"-HG(Hex3,534)"
Hex3Cer,1,"-HG(Hex2,342)"
Hex3Cer,1,"-HG(Hex,180)"
GB4,1,"HG(NHex,204)"
GB4,1,"HG(NHex2,366)"
GB4,1,"HG(NHex3,528)"
GB4,1,"-(H2O,18)"
GB4,1,LCB(-HO)
GB4,1,LCB(-H3O2)
GB4,1,LCB(-CH3O2)
GB4,1,"-HG(NHex4,707)"
GB4,1,"-HG(NHex4,725)"
GB4,1,"-HG(NHex3,545)"
GB4,1,"-HG(NHex2,383)"
GB4,1,"-HG(NHex,221)"
GB4,1,"-HG(NHex4,689)"
GD3,-1,"HG(NHex,290)"
GD3,-1,"HG(NHex2,581)"
GD3,-1,"HG(NHex,308)"
GD3,-1,"HG(NHex2,599)"
GD3,-1,"-HG(N2Hex4,906)"
GD3,-1,"-HG(N2Hex3,744)"
GD3,-1,"-HG(N2Hex2,582)"
GD3,-1,"-HG(NHex,291)"
GM1,1,LCB(-HO)
GM1,1,LCB(-H3O2)
GM1,1,LCB(-CH3O2)
GM1,1,"-HG(N2Hex3,674)"
GM1,1,"-HG(N2Hex4,836)"
GM1,1,"-HG(N2Hex5,998)"
GM1,1,"-HG(N2Hex5,1016)"
GM1,1,"-HG(N2Hex5,1028)"
GM1,1,"HG(NHex2, 366)"
GM1,-1,"HG(NHex, 290)"
GM1,-1,"-HG(CO2, 44)"
GM1,-1,"-HG(NHex,291)"
GM1,-1,"-HG(NHex2,365)"
GM1,-1,"-HG(NHex2,409)"
GM1,-1,"-HG(N2Hex3,656)"
GM1,-1,"-HG(N2Hex4,818)"
GM1,-1,"-HG(N2Hex5,980)"
GM3,-1,"HG(NHex,290)"
GM3,-1,"-HG(NHex3,615)"
GM3,-1,"-HG(NHex2,453)"
GM3,-1,"-HG(NHex,291)"
GM3,-1,"-HG(NHex3,633)"
GM3,-1,"-HG(NHex2,471)"
GM4,-1,"HG(NHex,290)"
GM4,-1,"-HG(NHex2,453)"
GM4,-1,"-HG(NHex,291)"
GM4,-1,"-HG(NHex2,471)"
HexCer,1,"-(H2O,18)"
HexCer,1,LCB(-HO)
HexCer,1,LCB(-H3O2)
HexCer,1,LCB(-CH3O2)
HexCer,1,"-HG(Hex,180)"
HexCer,1,"-HG(Hex,198)"
HexCer,1,"-HG(Hex,162)"
HexCer,-1,-([adduct])
HexCer,-1,"-HG(Hex,162)"
HexCer,-1,"-HG(Hex,180)"
HexCer,-1,LCB(-H6NO)
HexCer,-1,LCB(-CH3O)
HexCer,-1,LCB(-C2H8NO)
HexCer,-1,FA1(+C2H3N)
HexCer,-1,FA1(+HN)
HexCer,-1,FA1(+C2H3NO)
SHexCer,1,"-HG(SHex,98)"
SHexCer,1,LCB(-HO)
SHexCer,1,LCB(-H3O2)
SHexCer,1,LCB(-CH3O2)
SHexCer,1,"-HG(SHex,260)"
SHexCer,1,"-HG(SHex,278)"
SHexCer,1,"-HG(SHex,242)"
SHexCer,-1,"HG(S,97)"
SHexCer,-1,"HG(SHexCer,241)"
SHexCer,-1,HG(SHexCer)+(C2H5NO)
SHexCer,-1,"-HG(SHexCer,242)"
SHexCer,-1,LCB(-CH3O)
SHexCer,-1,LCB(-C2H8NO)
SHexCer,-1,FA1(+C2H3N)
SHexCer,-1,FA1(+HN)
SHexCer,-1,FA1(+C2H3NO)
LHexCer,1,-(H2O[adduct])
LHexCer,1,LCB(-HO)
LHexCer,1,LCB(-H3O2)
LHexCer,1,LCB(-CH3O2)
LHexCer,1,"-HG(Hex,162)"
LHexCer,-1,-([adduct])
LHexCer,-1,"-HG(Hex,162)"
LHexCer,-1,"-HG(Hex,180)"
LHexCer,-1,LCB(-CH3O)
LHexCer,-1,LCB(-C2H8NO)
LHexCer,-1,LCB(-H6NO)
Hex2Cer,1,"-(H2O,18)"
Hex2Cer,1,LCB(-HO)
Hex2Cer,1,LCB(-H3O2)
Hex2Cer,1,LCB(-CH3O2)
Hex2Cer,1,"-HG(Hex2,342)"
Hex2Cer,1,"-HG(Hex2,360)"
Hex2Cer,1,"-HG(Hex2,324)"
Hex2Cer,-1,-([adduct])
Hex2Cer,-1,"-HG(Hex2,324)"
Hex2Cer,-1,"-HG(Hex,162)"
Hex2Cer,-1,"-HG(Hex2,342)"
Hex2Cer,-1,"-HG(Hex,180)"
Hex2Cer,-1,LCB(-CH3O)
Hex2Cer,-1,LCB(-C2H8NO)
Hex2Cer,-1,FA1(+C2H3N)
Hex2Cer,-1,FA1(+HN)
Hex2Cer,-1,FA1(+C2H3NO)
LPA,-1,-([adduct])
